title,time,source,url,content
《江苏省高端装备研制赶超工程实施方案》解读,2017-5-29,,http://www.jsjmrhw.org/43.aspx,     为贯彻落实《中国制造2025江苏行动纲要》和《关于建设具有国际竞争力的先进制造业基地的意见》，加快突破企业制造装备升级急需、进口需求量较大、技术难度较高的高端装备及关键核心部件，推动装备产业转型升级，2016年6月，省经信委以苏经信装备〔2016〕363号文印发了《江苏省高端装备研制赶超工程实施方案》（以下简称《方案》）。《方案》解读如下：一、重点内容《方案》聚焦重点产业领域，以抢占全球装备发展制高点、补齐我省产业链短板与空白、有效支撑我省企业装备升级和智能转型为目标，坚持市场导向、企业主体、重点突破、协同攻关原则，引导和组织重点企业对标国际先进水平加强高端装备攻关研制，实现重点领域关键装备的技术突破和赶超，提升我省自主装备供给保障能力。《方案》围绕电子产业装备、数控机床、机器人、增材制造装备、智能成套装备、航空航天装备、先进轨道交通装备、海工装备及高技术船舶、农副产品精深加工装备、高档专用装备、智能电网与新型电力装备、高性能医疗器械、关键基础零部件等行业领域，有序组织实施一批高端装备赶超攻关项目。二、重点任务《方案》提出，2016年，我省将围绕电子产业装备、智能成套装备、先进轨道交通装备、关键基础零部件等行业领域，有序组织实施一批高端装备赶超攻关项目。在智能化成套装备、数控机床、高档专用装备等重点领域选择智能化精密零部件在线测量装备、数控多功能复合切削加工齿轮机床等六大领域、10个专题组织实施省高端装备研制赶超工程项目：一是在智能化成套装备领域实施智能化精密零部件在线测量装备、精密铸造机器人智能砂芯生产装备研制赶超工程。二是在数控机床领域实施数控多功能复合切削加工齿轮机床研制赶超工程。三是在高档专用装备领域实施高速拉舍尔提花经编机研制赶超工程。四是在轨道交通装备领域实施基于无线通信的城轨列车自动控制系统（CBTC）研制赶超工程。五是在智能电网与新型电力装备领域实施高分断智能型塑壳断路器研制赶超工程。六是在机械基础件领域实施非能动型核电站用气动蝶阀、工业机器人用精密RV减速器专用复合滚动轴承、高压大功率摆线液压马达研制赶超工程。七是在农副产品精深加工装备领域实施智能化速冻保鲜生产技术装备研制赶超工程。三、资金支持《方案》规定，高端装备研制赶超工程项目实施参照招标方式进行，通过投标、评标等程序确定中标单位。中标单位与省经信委签订《江苏省高端装备研制赶超工程招标项目研发合同》。中标单位按《项目研发合同》的具体进度管理要求组织项目实施，原则上2年内完成。《方案》规定，高端装备研制赶超工程项目中标后，在省级工业和信息产业转型升级专项中统一安排扶持资金，按攻关费用的一定比例给予资金补助，最高不超过1000万元。项目承担单位中标后拨付专项资金的50%，项目验收结题后依据会计师事务所出具的审计报告拨付剩余50%的专项资金，如经审计，项目未完成攻关费用预算，则按实际完成攻关费用拨付剩余专项资金。  
江苏省政府办公厅发布《江苏省政府办公厅关于印发江苏省“十三五”军民融合发展规划的通知》,2017-6-26,,http://www.jsjmrhw.org/266.aspx,近年来，江苏省军地双方站在富国强军的战略高度，把军民融合发展确立为加快转变经济发展方式和战斗力生成模式的重要途径，在大力破解统筹统管体制缺乏、工作执行力度不够等难题中，推动军民融合在深度上求发展，在实践中见成效。经过强力推动，江苏各地把发展与军队武器装备和后勤保障有关的产业作为经济结构调整的重要内容，形成航空航天、新材料、船舶与海洋工程、特种车辆、新一代信息技术等五大军民结合主导产业，在长江两岸打造出一批军民兼容、项目集聚的产业园。众多参与军品生产任务的民用企业，以其技术之长展现出服务国防建设的独特优势。据悉，江苏省已建立国家级国民经济动员中心17家，“民参军”企业已进入武器装备生产、应急通信指挥、军油保障等国防建设领域，并在载人航天工程、探月工程等重大项目中承担了重要的协作配套任务。为加快推进军民融合深度发展，江苏省委、省政府和省军区注重创新工作机制，推出由34家单位参加的军民融合发展联席会议制度，挂牌成立省军民融合发展办公室。目前江苏全省取得武器装备科研生产保密资格认证的民用企业已有560余家，进入军用物资采购动员供应商名录企业有200多家，均居全国前列。2016年11月29日，江苏省政府办公厅下发了《省政府办公厅关于印发江苏省“十三五”军民融合发展规划的通知》（苏政办发【2016】146号）。该规划是我省首部融合规划，其编制工作从启动到正式发布，共历时一年左右。规划编制过程中，先后多次征求省市有关部门和国家发改委、军委战略规划办公室主管部门的意见，并提交军民融合发展联席会议审议。规划分为四个部分。第一部分：开启军民融合发展新征程。系统梳理了我省产业、科技、人才、驻军等方面的发展基础，总结了近年来军民融合发展成果，分析了当前面临的机遇和挑战。第二部分：总体要求。提出了“十三五”时期我省军民融合发展的指导思想、基本原则和主要目标，到2020年，要全面建成经济建设贯彻国防要求、军队服务经济社会发展、地方生产力和部队战斗力同步提高“三个示范区”。第三部分：重点领域和主要任务。以产业科技人才资源为基础，以打破军民二元分离结构为突破口，系统规划了8个方面的重点融合领域和任务，包含：基础设施、产业发展、科技创新、人防建设、人才培养、军队后勤保障、国防动员、应急体系，力求以重点领域建设实现军民融合新拓展。第四部分：保障措施。提出要建立常态化制度化沟通渠道，构建融合信息服务平台，创新军民融合产业投融资模式，加快军民融合领域立法工作，为军民融合发展工作提供坚强制度保障。在规划编制过程中，统筹兼顾军地各方面要素，重点把握了以下三个方面：一是坚持以贯彻落实习近平总书记系列讲话为主线。始终坚持把总书记关于军民融合发展的重要论述和对江苏发展的最新要求全面融合在规划中，成为规划的指导思想和行动纲领，贯穿于“十三五”和未来更长时期发展的全过程。二是准确把握军民融合发展阶段。当前，我省军民融合发展正处在由初步融合向深度融合的过度阶段，还存在思想观念跟不上、体制机制不健全、融合效益不高等问题，要求我们兼顾国家、驻苏部队和江苏经济社会发展“三类需求”，加强统筹规划，优化资源配置，聚焦重点领域，加快形成具有时代特色、江苏特点的军民融合深度发展格局。三是注重夯实军民融合发展具体抓手。选择若干战略地位重要、军事需求突出、基础条件较好、区位优势明显的地区，建成一批国家级和省级军民融合创新示范区，以示范区建设构建军民融合新载体。坚持问题导向，着力打破军地二元结构，通过产业整合、创新、拓展，破解“民参军”渠道不够通畅、“军转民”机制不够健全、新兴领域融合发展不够等问题，为推动军民融合发展注入新动力。关于我们：军民融合产业投资联盟军民融合产业投资联盟是由国内一批军民融合相关军工集团、上市公司、行业协会学会、科研院所、投资基金、券商、银行、民间智库以及地方主管部门、产业园区等自愿加盟组成，围绕军民融合开展广泛合作与交流，重点推动军民融合产业链企业股权投资、并购重组。
聚焦特高优 放飞航空梦,2017-8-10,,http://www.jsjmrhw.org/1122.aspx,"    自2009年起，镇江新区积极抢抓国家C919大飞机实施计划、低空通航领域逐渐开放等系列机遇，规划建设了航空航天产业园，专注、高效、集中集聚集约式发展航空航天产业, 全力打造飞机零部件高技术特色产业基地。几年来，实现了航空航天产业的从无到有，从有到特集聚，已初步形成通用整机、航空航天新材料、航空零部件、航空科教、航空投融资、通航服务6个产业板块，航空航天产业已成为镇江新区特色产业名片。一、基地概况基地规划总面积10平方公里，分为南北两个区域。其中，南区6平方公里，建有15万平方米专业载体，主要发展航空航天新材料和零部件产业；北区4平方公里，配套有大路通用机场，主要发展大飞机部件组装、通用飞机制造总装以及通用航空关联服务业等。基地整体定位是打造具有领先发展优势的通用飞机整机、航空航天新材料、飞机内饰和零部件设计、研发、生产基地以及通航综合服务基地。二、发展现状一是产业集聚态势不断显现。截至目前，基地集聚涉航项目40余个，产品涉及通用整机、飞机机体结构件、航空发动机关键部件、飞机内饰、救生系统、地面检测设备、客舱座椅、航空线束等，其中5个企业的6类产品贴上了“镇江制造”的标签，直接为C919国产大飞机配套；同时，与波音、空客、FACC、卓地亚克等国际知名航空企业以及中航工业、航天科工、北京航空航天大学等国内龙头央企和著名院校建立了合作关系。二是经济效益持续提升。航天海鹰特种材料、菲舍尔航空部件、飞瑞植保无人机等项目相继建成投产；菲舍尔公司成为波音、空客、庞巴迪等国际航空公司合格供应商；航天海鹰公司由C919供应商B角成为临时独家供应商。德扬航空公司已销售大棕熊飞机近20余架。园区三年累计完成公共财政预算收入1.6亿元、工业应税销售15亿元。三是科研能力稳步提高。基地引进“双创”、“331”计划等专业人才团队5个，国家“千人计划”1人。拥有江苏省唯一的航空航天产业产学研联合创新平台，并建成了航天三院先进复合材料成型工艺技术研发中心、南京航空航天大学轻型通用飞行器设计研究院、北航民机高性能碳纤维复合材料研发中心等4个专业技术和公共服务平台。联合西工大、逸帆航空科技公司共同组建了飞行器内饰和工业设计实验室。依托基地，江苏省内50多家涉航实力型企业组成了航空材料和部件产业技术创新战略联盟。聘请了14名航空航天领域院士专家组成顾问组，为园区发展以及企业技术攻关、市场拓展等出谋划策。四是基地功能不断优化。基地内大路通用机场一期已经全面建成，30米×800米跑道、3万平方米停机坪、8000平方米停机库、油库等投入使用，可起降直升机、活塞和涡桨通用飞机。目前驻场通航公司12家、停驻飞机33架，2016年飞行3400架次，272.6小时。目前正在筹备机场陆地跑道扩建、水上跑道建设。设立江苏大路航空产业发展有限公司，进行市场化运作，开展产业项目和基础设施的融资和投资；组建江苏省航空职业技术学院，培养航空应用型人才，2016年首批招生460人。五是品牌特色充分彰显。创成国家新型工业化（航空产业）示范基地、中国首批航空运动飞行营地2个国家级品牌，江苏省航空特色产业集群等7个省级品牌。2015年，举办了第二届中国国际复合材料科技大会、商用飞机复合材料应用国际论坛；2016年，举办了“中国国际飞行器设计挑战赛总决赛暨科研类全国航空航天模型锦标赛”，并组团参加了珠海航展；2017年，镇江新区大路通航小镇成功创建为江苏省唯一的航空特色小镇，基地知名度和影响力不断扩大。三、下一步发展下一步，镇江江苏省飞机零部件高技术特色产业基地将继续构建以航空研发为核心，高端制造为主体，航空科教、通航服务、通航旅游为支撑的产业布局，形成体系完善、创新引领、高端集聚、高效增长的航空航天产业生态，努力进入国家级航空产业园第一方阵。一是做好特色文章。根据《促进通用航空业发展的指导意见》、《关于加快美丽特色小（城）镇建设的指导意见》等国家政策精神，依据现有产业基础，加速推进通航小镇、航空教育小镇建设工作，全面开启“航空+旅游”、“航空+培训”、“航空+教育”等“航空+”经营模式。二是做好优势文章。在已获批的2个国家级、7个省级品牌的基础上，打造国家级首批通航产业综合示范区、国内先进的军民融合发展产业基地、全国首个以通用航空为产业核心的特色小镇、通航产业与地方特色创新融合发展的示范标杆。三是做好集聚文章。在以菲舍尔、航天海鹰为龙头企业的产业链上强化补链、延链，积极对接行业内技术先进的大院所，实力雄厚的大企业、央企等，进一步加大整机制造、零部件制造等企业的招引力度，形成优势集聚效应，实现基地的提档升级。"
关于组织推荐江苏省军民融合重点企业及产品的通知,2017-5-29,,http://www.jsjmrhw.org/44.aspx,   企业推荐技术或产品信息保密审查意见企业申报江苏省军民融合重点产品及技术材料  
泰兴 积极探索军民深度融合发展新路径,2017-8-15,,http://www.jsjmrhw.org/1163.aspx,导读：近年来，江苏省泰兴市积极贯彻落实国家关于建立和完善军民结合、寓军于民武器装备科研生产体系的战略部署，坚持“政府主导、企业主体、市场运作”的基本原则，支持和发展了一批具有市场竞争力的军民结合型企业，走上了一条以舰船、航空航天配套设备为优势特色、军民深度融合的良性发展之路。近年来，江苏省泰兴市积极贯彻落实国家关于建立和完善军民结合、寓军于民武器装备科研生产体系的战略部署，坚持“政府主导、企业主体、市场运作”的基本原则，支持和发展了一批具有市场竞争力的军民结合型企业，走上了一条以舰船、航空航天配套设备为优势特色、军民深度融合的良性发展之路。在集聚泰兴的众多军民结合产业企业中，江苏南极机械有限责任公司和江苏兆胜空调有限公司主动作为，攻坚克难，发挥了良好的引领带头作用，加快推动产业企业转型升级。据介绍，作为国家火炬计划重点高新技术企业、省高新技术企业和省船舶配套行业重点企业，江苏南极机械有限责任公司被认定为江苏省企业技术中心和江苏省船舶污水序批式膜法处理设备工程技术研究中心。公司建有全球规模最大、最先进的船舶压载水管理系统试验检测中心和国内最先进的全船污水处理试验中心，以及配备功能齐全的舰船动力系统中间轴承试验台架、减震降噪试验系统。去年，该公司荣获首届中国军民两用技术创新应用大赛金奖。同时，该公司结合在全船污水处理领域的技术优势，研发军民两用压载水管理系统取得显著成就，向实现船舶真正意义上的零排放迈出了坚实的一步，为提高我国船舶配套技术水平、保护全球海洋生态环境作出了积极的贡献。2016年，全体“南极人”拼搏奋进，锐意进取，有效消除了造船行业低迷所带来的不利影响，全年完成产值4.25亿元，实现销售4.2亿元，税收3506.3万元，各项任务指标与上年同期相比，都保持了较好的增长。而对江苏兆胜空调有限公司来说，有一种使命叫助力军工，有一种责任叫为国争光。该公司紧抓国内外海洋战略发展，以及特种行业制冷需求增长等时代机遇，推进自主创新，积极推动企业由设备制造向系统集成转型升级，成功挺进国际市场，打造出“世界领先的特种空调生产基地”。一直以来，兆胜集团始终坚持以科技创新为第一驱动力，紧盯高精尖技术，竞跑国外同行，以一个个新产品不断填补国内空白，以一项项领先技术占据行业制高点，成功向特种制冷、海洋平台、新材料、新能源等领域拓展。面对复杂多变的国内外经济环境和日新月异的技术更新。2016年兆胜集团公司实现销售收入11.6亿元，入库税收1.08亿元。在两家龙头企业的率先垂范和助力推动下，未来，泰兴市将继续培育和壮大一批军民结合型企业，同时在推进军民融合的道路上着力破解制约创新驱动发展的突出矛盾和问题，找准技术突破口，集中资源和力量，打通科技向实用性转化的“最后一公里”通道，努力创造新的经济增长点，加快实现经济发展，推进转型升级，掀开技术创新和产品研发的新篇章，争创军民融合的新优势、响品牌!（信息来源：新华日报） 
江苏军工海安行-军民融合产业对接交流活动”在海安举行,2017-11-22,,http://www.jsjmrhw.org/1393.aspx,        11月9-10日，“江苏军工海安行-军民融合产业对接交流活动”在海安县举行。          11月9-10日，“江苏军工海安行-军民融合产业对接交流活动”在海安县举行。江苏省经信委国防科工办副主任卞凤泉，江苏省国防科工办军民结合推进处处长谭晓平，江苏省军工学会理事长、中国航天科工8511所党委书记李明，江苏省军工学会军民融合专家杜人淮、卢志军等出席活动，海安县委常委、副县长卢忠平，副县长张为峰参加活动。         活动由江苏省军工学会、海安县人民政府主办，常州市军民融合发展协会、海安县发展和改革委员会协办，旨在为深入贯彻军民融合国家战略，充分发挥省级学会和地方政府组织优势，鼓励和引导优势企业进入武器装备科研生产和维修领域，实现国防建设和经济建设全面协调发展。         对接会上，来自江苏军工学会、国防大学政治学院、陆军工程大学、空军装备研究院航空弹药技术勤务研究所、中国航天科工8511所、中国电子科技集团14所、中国电子科技集团55所以及南京、苏州、扬州、常州重点涉军企业等单位专家、企业家与海安县30多家企业负责人进行深入对接交流，达成多项合作意向，并现场考察亚太轻合金（南通）科技有限公司、海安县申菱电器制造有限公司、江苏铁锚玻璃股份有限公司、江苏东材新材料有限责任公司。           近年来，海安县贯彻军民融合国家战略，按照习近平总书记“进一步做好军民融合式发展这篇大文章”的总体要求，在苏中地区率先提出县域经济军民融合一揽子方案，建立军民融合工作领导小组，出台《关于加快推进军民融合产业发展的工作意见》、《军民融合产业专项扶持资金使用管理办法》《军民融合发展工作方案》等政策文件，组建全县军民融合发展专职人员网络，开创了海安军民融合工作新局面。目前，全县已有航天航空、粉末冶金、船舶配件、机器人、特种变压器、功能纤维、节能环保等多个领域进入武器装备科研生产领域，50余家企业与中航工业、中国船舶、兵器集团、西工大、哈工大、北理工等军工企业、科研院所建立合作机制，全县涉军产值预计可突破50亿元。      
2017年省级军民融合发展引导资金项目申报的通知,2017-5-29,,http://www.jsjmrhw.org/45.aspx,各设区市、县（市）发展和改革委、财政局，省军民融合发展联席会议成员单位：为深入贯彻国家战略，推动军民融合产业发展，根据《中国制造 2025 江苏行动纲要》（苏发〔2015〕16 号）、《江苏省“十三五”军民融合发展规划》（苏政办发〔2016〕146 号）以及《江苏省省级军民融合发展引导资金管理暂行办法（试行）》（苏财行〔2014〕166 号），2017年继续组织实施省级军民融合发展引导资金项目申报工作。现就有关事项通知如下：一、支持重点军民融合引导资金项目重点支持军转民、“民参军”、军民两用技术产业化应用、地（市）以上军民融合公共服务平台、军民科技协同创新、军民融合创新示范区等推动经济建设和国防建设融合发展的军民融合重大项目，推进我省形成全要素、多领域、高效益的军民融合深度发展格局。二、项目类别军民融合引导资金项目主要支持以下类别：（一）“军转民”产业化投资项目。已开工的新建或者改造项目技术及产品属于《军用技术转民用推广目录（2014年度）》、《军用技术转民用推广目录（2015年度）》。技术来源明确、合法。（二）“民参军”产业化投资项目。已开工的新建或者改造项目技术及产品属于军民融合重点支持领域：航空航天、电子信息、船舶与海工装备、轨道交通、机械装备和特种车辆、新材料、物联网产业。（三）军民融合产业示范基地。与军工企事业单位合作开发建设、以生产军民两用产品为主的省级以上产业示范基地。（四）军民融合公共服务平台。能够为军工企事业单位提供检测、试验、标准化建设、信息咨询、系统决策管理等公共服务平台。（五）技术研发机构建设。民口科研院所、高校及企业单位承担军品科研生产任务的国家级重点实验室、技术中心建设项目，军民融合重点实验室、技术中心和科技协同创新中心建设项目。三、支持方式（一）投资补助。对军民融合产业示范基地、军民融合公共服务平台及技术研发机构建设项目给予补助。补助资金比例上限为项目总投资的30%，单个项目补助上限不超过300万元。（二）贷款贴息。对使用金融机构贷款并且资金已经落实的“军转民”及“民参军”产业化项目，对其在建设期内所发生的2016年银行贷款利息给予一定的贴息补助。贴息额度不超过贴息期利息总额的60%，单个项目贴息上限为300万。同一项目贴息连续支持不超过2年。每个申报项目只能申请一种支持方式。四、申报基本条件（一）申报主体条件1、在江苏境内具有独立法人资格的企事业单位；2、依法经营，具有健全的财务与管理体系；3、资产及经营状况良好，具有较高的资信等级和相应的资金筹措能力；4、近三年无违规违法经营记录；5、取得军工、船舶、民爆行业有关资格证书。（二）项目申报条件申报项目除符合第一条要求，还需具备以下条件：1、符合《江苏省“十三五”军民融合发展规划》、《中国制造 2025 江苏行动纲要》等；2、项目申报主体、建设主体和贷款方一致；3、产业化项目已开工建设，项目落实条件较好，项目立项批复时间在2015年6月30日之后。建设资金已落实（包括自有资金银行存款证明、申请贷款贴息的需要提供贷款资金的银行贷款协议（合同）、贷款发放凭证和利息支付凭证（复印件）；4、军民融合产业示范基地、军民融合公共服务平台、技术研发机构建设项目已经运营1年以上；5、同一项目获得其他省级财政专项引导资金的不得申报；6、各设区市（含县（市））和省有关成员单位申报项目数分别不能超过8项、2项。各设区市发展和改革委会同财政局对市本级和县（市）申报项目进行审核，并对上报项目进行排序。为鼓励银行资金投入军民融合产业，各市申报贷款贴息的项目个数占总申报个数比例不得低于20%。五、申报要求（一）请各设区市发展和改革委会同财政局及时组织所属县（市）、区做好申报工作，省直属单位直接向省军民融合发展办公室、省财政厅申报推荐项目。对已获得过省其他专项资金资助的项目，不予推荐申报。（二） 请各单位按照深化投资体制改革的要求，简化流程，提高效率，规范运作，做好项目组织和核备工作，对所推荐项目要进行现场考察、核实，确认真实性，严把质量关。组织项目申报单位编写项目资金申请报告（编制要点见附件4）和项目简介（编制要点见附件5），涉密申报材料按保密要求编制。协调落实项目建设资金、环评、土地、节能评估等相关建设条件，认真填写《江苏省军民融合发展引导资金项目汇总表》（见附件1）、《江苏省军民融合发展引导资金项目申报表》（见附件2）、《省级财政专项资金申请使用全过程承诺责任书》（见附件3）。（三）请各单位于4月15日前将相关材料正式行文报送省军民融合发展办公室，逾期不予受理。报送材料包括：项目资金申请报告、项目简介及附表一式2份（附电子版），各县（市）、区所推荐项目的申报文件作为附件一并报送。省军民融合发展办公室：梁 晶 025-83600305省财政厅行政政法处： 于小洋 025-83633125附件：1．江苏省军民融合发展引导资金项目汇总表2．江苏省军民融合发展引导资金项目申报表3．省级财政专项资金申请使用全过程承诺责任书4．项目资金申请报告编制要点5．项目简介编制要求江苏省军民融合发展办公室江苏省财政厅2017年3月1日 
无锡市通过2017年军民融合发展重点工作报告,2017-7-14,,http://www.jsjmrhw.org/1013.aspx,    6月12日，省委常委、市委书记李小敏主持召开第31次市委常委会，会议听取了我市军民融合发展工作的汇报。会议指出，党的十八大以来，习近平总书记多次强调军民融合关乎国家安全和发展全局，既是兴国之举又是强军之策。贯彻落实军民融合发展战略，对无锡来说既是重大政治责任也是重要发展机遇。全市各级各部门要站在战略和全局的高度，切实把思想和行动统一到中央决策部署上来，高度重视、大力推进军民融合发展战略，主动把无锡产业强市主导战略融入国家战略，积极探索“军转民、民参军”的路径，扎实做好军民融合各项工作，为落实国家发展战略作出应有贡献，为推进产业强市提供坚实支撑。要围绕举办军民融合发展战略高端论坛、筹建国防大学军民融合深度发展研究中心无锡分院、争创全国首批军民融合创新示范区、推进合作项目等重点工作，主动加强与中央部委及军工央企的对接，力求在引进军民融合重大合作项目上取得突破，将军民融合深度发展转化为产业强市的持久动力。     会议原则通过无锡市发改委《2017年军民融合发展重点工作报告》，强调要建立健全无锡市军民融合发展工作体系，完善沟通协调机制。一是市级建立无锡市军民融合工作联席会议制度，由市发改委、经信委、商务局、科技局、工商联、金融办等单位组成，单位主要领导为成员。联席会议建立联络员工作机制，由成员单位相关处室负责人担任。负责协调本单位军民融合发展工作。二是成立军民融合发展办公室，办公室设在发改委，负责推动落实联席会议各项决策部署。在市发改委增设军民融合发展处，负责日常工作。各区（县）参照执行。全力推动无锡市军民融合发展不断迈上新台阶。（信息来源：国防科工局网站） 
江苏宜兴经济开发区吹响军民融合发展号角,2017-8-18,,http://www.jsjmrhw.org/1177.aspx,        前不久，江苏省商务厅发文批准在宜兴经济技术开发区设立“江苏宜兴军民融合产业园”。此次，宜兴市获批建设“江苏宜兴军民融合产业园”是基于该市数十年来已形成的特色产业基础和在新兴产业领域的无限发展空间。军民融合产业园管委会主任朱晨辉表示，这块牌子的落地，吹响开发区军民融合产业建设的号角，为开发区加快发展增添了新动力。  军民融合产业是在充分利用国防科技工业高新技术与地方产业资源优势的基础上，通过推动信息、技术、产品、工艺等要素双向流动、融合发展，形成跨产业、跨领域的产业形态。为顺应新一轮科技产业革命与军队改革，我国正式将军民融合发展上升为国家战略，军民融合发展进入由初步融合向深度融合过渡，进而实现跨越发展的关键期。此次，我市获批建设“江苏宜兴军民融合产业园”并非无中生有的产业探索，而是基于我市数十年来已形成的特色产业基础和在新兴产业领域的无限发展空间。多年来，我市军民融合产业在部分行业和领域具有全国甚至全球比较优势，特别是在处于发展前沿的开发区，一批优秀民营企业积极“参军”，通过军民融合，抢占行业制高点，取得累累硕果。江苏银环精密钢管股份有限公司长期致力于国家重大装备关键管材的研发与制造，并承担国家“863”“973”课题，先后研发生产火电、核电、航空航天、轨道交通等领域的新产品，成为国家重大科技专项关键材料产业化研制示范单位、国家重大装备关键管材国产化基地。江苏雅克科技股份有限公司拥有全国舰船关键材料的深冷复合保温节能材料技术。江苏永康机械有限公司作为老牌的军工企业，质量管理体系证书、保密资格证、生产许可证和承制单位资格证等武器装备“四证”齐全，全力发展相关军品项目。江苏宝宸净化设备股份有限公司长期致力于“核三废”处理处置装置技术，联合上海核工程研究设计院成立了国家级“核电三废处理技术联合研发和试验中心”。随着新兴产业的不断崛起，近年来，开发区还集聚了一批新能源、新材料、光电子、功能食品饮料企业，形成了具有较大规模、较高知名度的产业集群。拥有自主知识产权的九迪动力多缸柴油发动机批量生产；西门子燃气机轮叶片投产；华宸电控、恩吉威电池、兴云锂电池组装加工等新能源企业项目相继落地，并初步形成新能源汽车“电池、电机、电控”三大主件生产能力……这些为开发区今后军民融合产业的壮大奠定了基础。目前，开发区已出台《宜兴经济技术开发区关于鼓励军民融合产业发展的实施意见》，将以建设“江苏宜兴军民融合产业园”为目标，围绕“一核、两区、三中心”的产业空间布局，坚持一手抓载体建设，一手抓项目引进，着力突破“民参军”机制创新和“军转民”开放创新，构建军民融合产业发展体系、空间布局体系和政策保障体系，形成“创新引领、技术支撑、产业联动、高端开放”的军民融合产业集群。今年以来，开发区已与中国兵器工业新技术推广所达成战略合作协议，在宜设立中国兵器工业新技术推广所宜兴中心，争取利用新技术推广所的平台，积极推进军工企事业单位与宜兴地方企业的技术和产业合作，促进国防军工技术、人才、资本和宜兴地方企业、政策、产业发展优势相结合。同时，还由保利协鑫牵头，会同中兵集团、哈工大机器人集团和苏民投等9家单位，设立军民融合产业引导基金，着力解决军民融合产业园的基础设施建设、项目融资、股权投资等，“引转扶”多措并举，助推宜兴军民融合产业发展。据统计，今年以来，开发区已签约军民融合新项目、平台8个；在谈项目10个。西安电子科技大学郝跃院士的微电子学院重点实验室和研究生工作站、军用车辆、枪械复合材料、航空航天用碳纤维复合材料等一批签约项目正抓紧落地，这些项目建成后，将成为推进开发区千亿级产业的重要助力。
关于组织征集《军用技术转民用推广目录(2018年度)》 技术和产品信息的通知,2018-5-24,,http://www.jsjmrhw.org/1960.aspx,各设区市经信委(国防科工办)，各有关单位:为贯彻落实《国务院办公厅关于推动国防科技工业军民融合深度发展的意见》，拓宽军民技术和产品信息交流渠道，现将《工业和信息化部办公厅国防科工局综合司关于组织征集军用技术转民用推广目录(2018年度)技术和产品信息的通知》转发你们，请按要求组织征集相关技术和产品信息，并于2018年5月30日前将相关材料的纸质材料及电子版邮寄至江苏省国防科工办军民结合推进处。联系人:孙立伟  联系电话: 025 -69652820  江苏省经济和信息化委员会 军民结合推进处2018年5月21日NOTICE工业和信息化部办公厅国防科工局综合司关于组织征集《军用技术转民用推广目录（2018年度）》技术和产品信息的通知  工信厅联军民函〔2018〕125号  教育部、中科院办公厅，各省、自治区、直辖市工业和信息化主管部门（国防科工办），各军工集团公司，中国工程物理研究院，相关高校和事业单位： 为贯彻落实《国务院办公厅关于推动国防科技工业军民融合深度发展的意见》，拓宽军民技术和产品信息交流渠道，现启动2018年度《军用技术转民用推广目录》（以下简称《目录》）的编制工作，请协助组织征集相关技术和产品信息。有关事项通知如下： 一、征集原则 征集工作遵循公开、成熟、实用原则。申报的技术和产品应可公开发布，不涉及国家秘密或已按相关规定完成解密；应具有较高的技术成熟度，可直接或经适应性开发后应用在民用领域；较同类民用技术和产品有一定优势或特色，具有较好转化和产业化前景。 二、征集领域 根据相关产业发展规划和指导意见，结合军工优势，围绕以下领域征集技术和产品信息： ●先进材料：先进钢铁材料、先进有色金属材料、先进化工材料、先进无机非金属材料、高性能纤维及复合材料、稀土功能材料、先进半导体材料和新型显示材料、新型能源材料、石墨烯与液态金属等前沿新材料。●智能制造：增材制造装备、高档数控机床与智能加工中心等，高精度减速器、高性能控制器、精密测量等技术与核心零部件，高精度、高可靠性中高端工业机器人。●高端装备：民用飞机、海洋工程、高技术船舶、轨道交通、大型高端农机装备、高端医疗装备、大型海上风电机组、新能源汽车装备及相关核心部件。●新一代信息技术：电子基础元器件、高端通用芯片、先进传感器、基础软件等，北斗导航系统等卫星应用产品，基于互联网的制造业技术（如工业云、工业大数据、工业电子商务、信息物理系统等），网络空间安全系统。●新能源与环保：太阳能、风能等新能源利用技术和产品；高性能燃料电池及环保型、高能量密度动力电池；节能、废物处理产品；核燃料产业中采冶、纯化转化、浓缩、元件制造等环节的相关技术和产品；污染检测、控制技术和产品。●应急救援及公共安全：自然灾害、事故灾难、公共卫生事件、社会安全事件检测预警产品，新型应急指挥通信和信息感知产品，紧急避险系统、应急救援装备与器材、公共安全装备等。三、有关要求 （一）请组织有意愿申报入编《目录》的企事业单位、高校和科研院所登录国家军民融合公共服务平台（jmjh.miit.gov.cn），进入“军转民目录”专题栏目在线填报（须为注册用户），也可通过邮寄渠道填报提交“军转民”技术和产品信息征集表、汇总表、保密审查表。 （二）请优选技术和产品信息，每个单位提交的信息总数原则控制在80项以内。每项技术和产品提供2至3张反映技术特点和产品全貌的清晰图片（每张图片2Mb左右）。申报的技术和产品不应与本单位近三年入编内容重复。 （三）军工集团公司负责在线审核所属单位的申报信息，各地军民结合主管部门负责在线审核属地军工企事业单位、地方民口配套单位的申报信息，审核完成后在线提交；工业和信息化部、国防科工局直属单位直接在线提交申报信息；盖章页以彩色图片形式上传。其他单位按隶属关系向主管部门报送纸质（含电子版）材料。 （四）请于2018年5月30日前完成在线提交，或将相关材料的纸质材料及电子版邮寄至国防科技工业科技成果推广转化研究中心。
